"Country","Group","Prevalance..primary.","X95..CI.min","X95..CI.max","Prevalance..primary...secondary.","X95..CI.min.1","X95..CI.max.1","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"Malawi","Africa (southern, eastern, western)",1,1,1,0,0,0,"MWI","Population ages 0-14, total","SP.POP.0014.TO",1552547,1583585,1617523,1657886,1702680,1752244,1807608,1864483,1922697,1982006,2042126,2103240,2166157,2231430,2299327,2370592,2446136,2527135,2619102,2724384,2840214,2964468,3094897,3229251,3365263,3502599,3638942,3807916,4014119,4219193,4396288,4537358,4672351,4739308,4680073,4655892,4719623,4788774,4876360,4980322,5092819,5218627,5359548,5511509,5673576,5848556,6032624,6222489,6425914,6639597,6849578,7054315,7252372,7441594,7621388,7790837,7948036,8093358,8229029,8355525,8473148,8583538,8691168,8801005
"Mozambique","Africa (southern, eastern, western)",0.95,0.93,0.98,0.97,0.94,1,"MOZ","Population ages 0-14, total","SP.POP.0014.TO",2852530,2923176,3003787,3084758,3165721,3252751,3343643,3434688,3526541,3619301,3714930,3815898,3928542,4053416,4184761,4322882,4468744,4632933,4819157,5014099,5159269,5266612,5381912,5491613,5601768,5706652,5798027,5811513,5790315,5825351,5898094,5989433,6083030,6240939,6542471,6834391,7042920,7249859,7453077,7664017,7882650,8108487,8341174,8582895,8830852,9081557,9336574,9598270,9874628,10170860,10483920,10806316,11128887,11450576,11764027,12070045,12382816,12702008,13022087,13345103,13675858,14012754,14348696,14674522
"Namibia","Africa (southern, eastern, western)",0.93,0.89,0.96,0.87,0.8,0.94,"NAM","Population ages 0-14, total","SP.POP.0014.TO",251075,256820,263059,269961,277305,284925,293023,301727,311049,321017,331641,342939,354953,367641,380972,394849,408815,422600,435161,446828,458080,467926,477397,487233,497198,507496,518335,529826,542356,559864,579848,598068,616969,636995,657353,676495,693857,710679,727560,743921,758795,770554,778063,781445,781924,779510,775306,772070,771005,772656,777364,785194,795281,806184,817399,829400,842686,857031,871779,886332,901144,916066,930304,943283
"Niger","Africa (southern, eastern, western)",0.13,0.07,0.19,0.13,0.07,0.19,"NER","Population ages 0-14, total","SP.POP.0014.TO",1708125,1756705,1808909,1867673,1933693,1995229,2049765,2104976,2160062,2214727,2269279,2323282,2377442,2432735,2489355,2548172,2609905,2675443,2746931,2825715,2911314,3002606,3097493,3194632,3294847,3397724,3501291,3606677,3714291,3823754,3937722,4056414,4179484,4308186,4443426,4588897,4746328,4914863,5095505,5286552,5487942,5701759,5927488,6166213,6419037,6684151,6959956,7246966,7545299,7854251,8172599,8498428,8831884,9174467,9527128,9891587,10270749,10663720,11068329,11484064,11910940,12349753,12801444,13263428
"Nigeria","Africa (southern, eastern, western)",0.87,0.81,0.93,0,0,0,"NGA","Population ages 0-14, total","SP.POP.0014.TO",18423147,18790399,19190121,19643018,20161575,20693606,21214321,21739910,22277094,22836314,23417594,24035207,24698767,25411640,26189746,27040101,27948008,28910565,29932469,30999590,32098136,33218705,34353685,35391883,36422501,37531633,38595795,39619824,40623226,41621467,42610842,43581710,44547367,45522021,46520396,47549540,48604116,49681629,50782791,51968227,53292776,54745102,56311036,57969016,59685036,61463145,63315548,65227883,67198103,69214011,71260647,73344420,75451750,77547121,79586801,81535385,83420451,85270279,87078846,88859960,90626347,92372972,94070211,95704370
"Republic of Congo","Africa (southern, eastern, western)",0.93,0.88,0.98,0,0,0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rwanda","Africa (southern, eastern, western)",0.49,0.39,0.59,0.49,0.39,0.59,"RWA","Population ages 0-14, total","SP.POP.0014.TO",1431517,1485412,1535647,1581437,1622154,1659763,1697298,1735968,1776326,1818523,1862918,1908804,1955718,2004202,2054187,2105804,2160353,2219305,2284417,2359092,2445093,2542659,2650435,2763558,2878402,2994608,3112957,3233187,3351604,3464004,3568505,3652308,3726655,3831488,3343288,2910604,3381656,3795190,3832066,3782392,3737605,3705879,3705019,3741023,3800278,3874924,3962970,4060613,4160821,4257011,4347824,4435209,4524766,4617112,4707396,4793719,4875176,4954024,5030952,5102831,5170052,5235216,5299330,5365346
"Senegal","Africa (southern, eastern, western)",0.79,0.76,0.82,0,0,0,"SEN","Population ages 0-14, total","SP.POP.0014.TO",1424143,1469335,1516185,1565488,1618835,1670108,1717329,1765863,1815697,1867011,1920333,1976209,2035042,2096980,2161918,2230180,2302406,2378171,2456852,2538295,2622394,2709021,2797609,2887527,2977994,3068686,3159131,3249107,3337513,3424067,3510363,3594676,3675744,3755180,3832519,3907408,3980467,4052859,4126102,4202474,4282324,4365122,4452206,4546229,4647543,4754924,4872203,4997597,5127486,5266800,5414875,5567745,5724580,5883092,6040416,6192789,6340283,6485674,6630333,6773719,6913873,7047810,7177700,7307261
"Somalia","Africa (southern, eastern, western)",0.94,0.88,0.99,0.94,0.88,0.99,"SOM","Population ages 0-14, total","SP.POP.0014.TO",1272427,1312565,1352479,1392601,1432125,1468180,1502064,1537165,1573719,1611618,1651162,1691874,1734080,1778635,1822275,1865014,1909980,1961381,2109386,2393445,2614264,2642079,2660140,2757023,2871819,3004311,3146092,3276816,3299474,3267037,3273592,3146708,2978718,3061834,3231222,3359419,3491492,3623150,3783106,3945309,4111494,4283332,4451819,4625585,4810844,5004353,5194088,5382991,5544700,5673277,5805336,5884657,5980415,6167363,6375410,6582222,6824264,7083941,7328396,7581911,7828576,8063870,8299774,8537139
"South Africa","Africa (southern, eastern, western)",0.81,0.77,0.84,0.77,0.72,0.81,"ZAF","Population ages 0-14, total","SP.POP.0014.TO",7013285,7186834,7390614,7599960,7827378,8077235,8335393,8599441,8867599,9140805,9419514,9676061,9905109,10129863,10359416,10594767,10834694,11049782,11236274,11430387,11638202,11880579,12155224,12430365,12707639,12993200,13334610,13771284,14274442,14814417,15351445,15860282,16312860,16675171,16938410,17105663,17188510,17145956,16993268,16781321,16497279,16169421,15838793,15527556,15262194,15061499,14918651,14826749,14817146,14849214,14880836,14957475,15108204,15312902,15540395,15799278,16004660,16191510,16445884,16697281,16899481,17029519,17100181,17096939
