"","Country","Group","Preval_primary","95_CI_min_primary","95_CI_max_primary","pop_under15","pop_under65","pop_above65_rate","agr_land_perc","docs_per_1000","GDP","pop_hist","health_exp","life_exp","jan_temp","feb_temp","mar_temp","apr_temp","may_temp","jun_temp","jul_temp","aug_temp","sep_temp","oct_temp","nov_temp","dec_temp","avg_temp","CM_cal_mean","CM_fsq_mean"
"69","Spain","Europe (western, southern, northern)",0.29,0.27,0.31,7849421.25,26169741.328125,13.961250107,38.4,4.577,36051.418,47735670,8.58136363636364,77.1079,5.91338618533333,7.01435200346667,9.436668608,11.5031924533333,15.2043414133333,19.39777844,22.6287842666667,22.40717756,19.1010924,14.4724961533333,9.322942316,6.55666659466667,13.5799065328444,1818695.09454545,173.121818181818
"70","Sri Lanka","Asia",0.73,0.66,0.79,5135612.265625,10602812.203125,6.46190279189063,31.8,1.192,13250.63,22700377,3.79136363636364,69.7279306451613,24.4306308933333,25.1968847466667,26.5481407066667,27.3193191733333,27.6808688933333,27.4921797866667,27.2362104266667,27.12514732,26.9568365333333,26.0854151866667,24.7781318533333,24.2615320666667,26.2592747988889,864966.37,60.2738461538462
"71","Sudan","Africa (southern, eastern, western)",0.55,0.53,0.57,10467840.578125,12500575.796875,2.66041337340625,11.09,0,0,0,4.82181818181818,53.9705532258065,19.87046592,21.9683217866667,25.5828009866667,29.0141120666667,30.95167852,31.05215872,29.84634912,29.3232158666667,29.25932152,27.8376908,23.79157408,20.5342951066667,26.5859987077778,985745.716923077,97.65
"72","Sweden","Europe (western, southern, northern)",0.07,0.04,0.09,1639624.453125,5634828.21875,16.7067970346875,6.97,7.062,51331.28,10416136,9.50863636363636,77.9527693548387,-7.104072724,-6.75690944066667,-3.09429159209333,1.74886621114667,7.510788328,12.54254638,14.79336054,13.4145154466667,8.86718395066667,3.649470638,-1.81801600773333,-5.29077249373333,3.20522243635444,36538.6207692308,8.52615384615385
"73","Syria","Middle East",0.95,0.93,0.98,5501554.96875,7358685.625,3.58101953728125,31.19,0,0,0,3.94,66.5878322580645,6.71669212133333,8.55215533866667,12.2941489333333,17.45468288,22.5746601733333,27.10580872,29.6335158666667,29.3583234533333,26.01393412,20.5422611733333,13.0823051666667,8.169481004,18.4581640792222,54105.5830769231,24.0961538461538
"74","Taiwan","Asia",0.88,0.79,0.97,0,0,0,24.38,0,0,0,0,73.7286177419355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489629.924615385,166.896923076923
"75","Tanzania","Africa (southern, eastern, western)",0.45,0.41,0.49,13864895.109375,15968733.359375,2.803912848125,11.67,0.05,2511.8293,62830413,4.76545454545455,52.9504887096774,22.7167854533333,22.8720193066667,22.7351102266667,22.1661193733333,21.7573813333333,20.9803089733333,20.6476482,21.5038104933333,22.7704702133333,23.7207653333333,23.27004504,22.6775458,22.3181674788889,151794.580769231,102.386923076923
"76","Thailand","Asia",0.84,0.79,0.9,14866950.25,35200225.46875,6.0788701071875,37.28,0.928,16865.549,71727340,3.58181818181818,67.8851758064516,23.0810668533333,25.0099260133333,27.1862445333333,28.4863490133333,27.8760528933333,27.2929507066667,26.82817736,26.5521037066667,26.2930286666667,25.7847371733333,24.1830851333333,22.4527862,25.9188756877778,386584.926923077,272.776153846154
"77","Tunisia","Northern Africa",0.84,0.73,0.95,2729539.09375,5165554.5625,5.00510483401562,31.17,0,0,0,5.76545454545455,66.2544564516129,10.2710224746667,11.7234149906667,14.51337126,17.8132030266667,22.0627792666667,26.4322752666667,29.0636779733333,29.06373944,25.9218553466667,21.11007632,15.2714676733333,11.20399738,19.5375733682222,598000.177692308,36.2292307692308
"78","Turkey","Middle East",0.69,0.66,0.71,17964878.078125,34643866.046875,5.47432349098437,34.17,2.036,28726.191,86686255,4.70590909090909,66.5373741935484,-0.2416030568,1.1236791088,4.724732046,9.92472969866667,14.6797141,19.2282675466667,22.6032835333333,22.6510216533333,18.5801412666667,12.9480880733333,6.65940370533333,1.88003494142667,11.23012438473,2945637.73384615,138.086923076923
"79","Uganda","Africa (southern, eastern, western)",0.87,0.8,0.94,10492670.5,10799735.84375,2.27167734640625,34.5,0.158,2240.4902,45910932,5.23090909090909,50.1759919354839,23.4509187066667,23.9740425866667,23.654738,22.7311193333333,22.2954278533333,21.99892816,21.64926036,21.7442745333333,22.1129091466667,22.2978148133333,21.91125704,22.3740613466667,22.5162293233333,224024.766923077,80.1961538461538
"80","Ukraine","Eastern Europe",0.61,0.51,0.71,9512689.515625,32027274.046875,12.8266581861719,58.17,0,0,0,6.74954545454545,69.8473177419355,-4.08166993657333,-3.02651669488,1.49545013353333,9.093370948,15.1257893933333,18.9348218,20.7256239866667,20.00138868,14.7937513933333,8.63157616266667,2.68743874786667,-1.54197877778667,8.56992048634667,283436.696923077,229.413846153846
"81","United Kingdom","Europe (western, southern, northern)",0.08,0.07,0.09,11765673.3125,38029743.546875,15.3306557082813,27.25,3.171,45567.57,67668789,9.36590909090909,75.9854322580645,3.86409774278667,3.89190883946667,5.41165250933333,7.37544326266667,10.4065586866667,13.21121946,14.9398716133333,14.7697218866667,12.81599692,10.0037560573333,6.46441423466667,4.57115309933333,8.97714952602111,1098505.89923077,70.8
"82","United States","America",0.36,0.33,0.39,57576238.703125,168904734.171875,12.1300279490625,19.46,3.555,60158.91,340161441,15.6577272727273,74.9842370967742,-3.3540880328,-1.44348567886,2.68940980301333,8.34142829866667,14.09574348,19.21346884,21.8748510266667,20.85207984,16.59372572,9.95915498,2.88401342746667,-1.8678676616,9.15320283687944,930808.226923077,210.390769230769
"83","Uruguay","America",0.65,0.59,0.71,764383.75,1960515.515625,11.8410987558906,10.04,6.2,23257.256,3396692,8.56772727272727,72.9320080645161,23.82417664,23.00475376,21.2531348533333,17.65301674,14.26800682,11.6415388266667,11.22418166,12.3995506066667,14.0503520733333,16.81957338,19.2764292933333,21.9757919866667,17.28254222,137662.513076923,102.19
"84","Uzbekistan","Eastern Europe",0.92,0.87,0.96,7529138.0625,12653088.640625,4.73352731815625,10.68,0,0,0,5.21181818181818,64.8500435483871,-2.71637839861333,-0.72695007208,5.85874881146667,14.3449052733333,21.2001179866667,26.5781609866667,28.7328012133333,26.4781951466667,20.0588066133333,11.90720174,4.41591071786667,-0.679806800117867,12.9543094348768,116110.471538462,43.0461538461538
"85","Vietnam","Asia",1,1,1,21508057.328125,41282006.078125,6.09726550010938,24.61,0,0,0,4.58090909090909,67.5863258064516,19.0955838933333,20.3751271066667,22.7409798533333,24.977976,26.1937594,26.5076216266667,26.3078234533333,25.9937830266667,25.2471593466667,23.8304155733333,21.59504352,19.3368640666667,23.5168447388889,2275792.74076923,187.756923076923
"86","Yemen","Middle East",1,0.99,1,7261537.34375,8402551.015625,3.00206567921875,2.84,0,0,0,5.200625,54.7841451612903,18.6742006133333,20.5405714666667,23.5294381866667,26.0377259466667,28.53165736,29.9875509466667,30.0030133066667,29.3897452133333,28.1096600133333,24.7739753733333,21.36010592,18.8210798666667,24.9798936844444,282452.846923077,109.466923076923
"87","Zambia","Africa (southern, eastern, western)",1,1,1,4326705.890625,4709445.390625,2.38797957109375,4.01,0.297,3287.4204,19603610,5.04590909090909,52.3377709677419,21.89706888,21.93243628,21.9260745333333,21.5132772133333,20.1725466133333,18.1873161333333,17.99670736,20.5487768,23.9390262933333,25.5571460133333,23.7214225466667,22.0838315066667,21.6229691811111,4805619.80769231,283.492307692308
