Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","705","Slovenia","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","494.3","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","705","Slovenia","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","257.04","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","706","Somalia","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","0.46","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","706","Somalia","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0.46","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","706","Somalia","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0.24","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","710","South Africa","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","900.92","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","710","South Africa","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","3747.32","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","710","South Africa","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","710","South Africa","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","728","South Sudan","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","728","South Sudan","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","724","Spain","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","22639.67","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","724","Spain","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","12150.6","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","724","Spain","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","370.96","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","724","Spain","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","10118.11","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","724","Spain","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","5261.42","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","144","Sri Lanka","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","0.2","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","144","Sri Lanka","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","0.06","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","144","Sri Lanka","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0.14","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","729","Sudan","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","17.95","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","729","Sudan","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","17.95","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","729","Sudan","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","9.34","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","740","Suriname","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","103.38","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","740","Suriname","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","43.58","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","740","Suriname","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","59.8","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","740","Suriname","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","31.1","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","752","Sweden","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","54128.69","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","752","Sweden","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","4170.18","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","752","Sweden","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","25918.36","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","752","Sweden","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","24040.15","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","752","Sweden","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","12500.88","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","756","Switzerland","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","35.41","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","756","Switzerland","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","821.54","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","760","Syrian Arab Republic","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","10.49","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","760","Syrian Arab Republic","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","4.96","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","760","Syrian Arab Republic","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","5.52","E","Estimated value",""
