Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Country.Code,Indicator.Name,Indicator.Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023
Hungary,Former Soviet Republics,0.39,0.36,0.41,0.39,0.36,0.41,HUN,"Population ages 15-64, total",SP.POP.1564.TO,6554481,6579306,6609546,6648032,6689207,6729896,6770435,6808006,6852833,6920506,6990499,7038876,7063045,7068817,7063150,7049622,7031747,7004539,6972988,6939765,6924753,6943509,6978904,7021285,7041032,7029746,7009043,6988717,6974844,6919448,6888219,6922748,6950474,6969298,6979847,6982677,6982417,6980861,6972827,6963797,6961575,6966362,6963235,6954489,6950722,6945793,6941896,6932247,6915646,6895853,6874888,6849382,6794920,6747076,6691117,6636130,6577390,6524984,6482401,6433226,6371286,6314017,6320807,6317185
Poland,Former Soviet Republics,0.43,0.39,0.47,0.35,0.31,0.39,POL,"Population ages 15-64, total",SP.POP.1564.TO,18016186,18164949,18436194,18791002,19180281,19505716,19817592,20194041,20576909,20927782,21208613,21473819,21786087,22090640,22366109,22597278,22789948,22946418,23069644,23187013,23345419,23539855,23735300,23930817,24093967,24215120,24332200,24442324,24528173,24630450,24764298,24911597,25071370,25225455,25376674,25522188,25667217,25839020,26047030,26258283,26207082,26397266,26536166,26665100,26785845,26892993,26987088,27072534,27148245,27207210,27149441,27117387,26990755,26811365,26609308,26396251,26160735,25909730,25647760,25389267,25118729,24835510,24410950,24405465
Brazil,America,0.6,0.58,0.62,0.6,0.58,0.62,BRA,"Population ages 15-64, total",SP.POP.1564.TO,38946430,39999791,41096496,42267024,43533179,44873615,46247968,47662049,49122574,50632853,52199085,53815928,55486868,57217189,59000526,60833433,62714084,64649786,66634722,68645122,70665645,72676386,74665855,76641897,78618045,80611684,82622303,84646706,86697760,88770384,90868427,92992528,95149326,97355941,99614642,101918393,104257762,106627027,109006750,111375254,113723821,116036453,118297028,120484166,122599349,124649426,126631537,128555114,130440998,132309102,134182780,136055226,137882323,139643831,141291467,142802802,144236047,145586706,146810991,147950382,148969796,149767451,150400744,151029363
Chile,America,0.56,0.5,0.62,0.56,0.5,0.62,CHL,"Population ages 15-64, total",SP.POP.1564.TO,4648408,4737863,4832118,4930235,5031822,5137715,5246572,5356479,5468361,5583550,5703775,5829624,5958524,6090686,6228429,6370665,6514831,6660468,6807577,6955993,7105263,7253684,7401437,7548447,7694101,7839327,7985430,8133324,8281001,8424736,8564931,8703946,8842834,8981860,9121594,9262532,9405318,9551155,9700428,9853407,10010039,10169856,10333879,10502180,10674260,10850217,11028048,11202016,11369721,11532057,11686611,11832020,11967095,12091158,12211695,12328424,12467153,12668844,12909544,13146408,13314429,13423378,13458005,13417152
Colombia,America,0.8,0.73,0.87,0.8,0.73,0.87,COL,"Population ages 15-64, total",SP.POP.1564.TO,7863959,8083498,8313930,8552851,8808143,9084650,9372475,9671804,9985467,10311218,10650951,10998285,11356833,11735224,12126788,12528664,12936490,13363618,13814818,14277953,14756400,15240893,15726831,16221285,16714046,17190242,17652525,18108971,18567026,19030955,19503642,19973088,20445476,20936261,21445139,21962775,22481811,23010541,23543493,24075732,24609531,25148826,25695703,26245043,26797208,27347850,27895361,28438763,28966906,29487399,30005339,30507350,30983933,31436885,31863569,32274550,32725009,33347909,34124172,34864151,35450454,35898966,36134433,36204373
Mexico,America,0.48,0.44,0.52,0.48,0.44,0.52,MEX,"Population ages 15-64, total",SP.POP.1564.TO,18325063,18847911,19416319,20026087,20665831,21318745,21985033,22675113,23391505,24129884,24893498,25726036,26628082,27559380,28519907,29507979,30520463,31585225,32712738,33879214,35040771,36142036,37208509,38294268,39398225,40508312,41633951,42787013,43965650,45154545,46452201,47851112,49227507,50563950,51878424,53169833,54437282,55706830,56969818,58224518,59464656,60684664,61907176,63130829,64385651,65666260,66933497,68190845,69420302,70638875,71958813,73339669,74688097,76021956,77325278,78585113,79805908,80964835,82019095,83031838,83967738,84782496,85644224,86569424
Uruguay,America,0.65,0.59,0.71,0.65,0.59,0.71,URY,"Population ages 15-64, total",SP.POP.1564.TO,1625074,1643407,1660901,1677138,1691941,1706073,1719762,1732791,1744979,1755886,1765506,1774824,1784327,1793681,1802456,1810699,1818321,1825173,1831800,1838677,1845963,1853898,1862964,1873246,1883949,1894127,1904510,1916212,1928895,1942542,1957360,1972425,1986249,1998487,2009324,2018186,2026313,2034851,2043319,2051691,2058876,2063628,2065885,2068169,2072744,2077399,2082780,2090934,2100672,2111704,2123833,2136176,2148186,2159741,2171113,2181877,2191693,2201142,2209721,2216931,2224277,2230659,2235847,2241079
Canada,America,0.59,0.44,0.74,0.59,0.44,0.74,CAN,"Population ages 15-64, total",SP.POP.1564.TO,10494001,10675681,10869371,11089817,11339648,11607495,11913272,12241477,12562690,12860518,13195025,13760122,14075044,14400708,14758665,15124940,15462972,15772616,16051583,16324135,16630720,16904979,17149439,17345144,17524588,17694335,17871252,18089501,18297611,18600984,18847999,19040955,19225645,19411102,19619681,19832495,20058467,20284244,20489628,20710473,20968129,21262259,21557663,21811153,22076436,22349438,22624588,22865527,23111793,23362428,23592948,23758284,23909943,24035643,24145059,24191409,24331113,24502549,24747804,24999433,25141954,25140932,25461701,26083205
United States,America,0.36,0.33,0.39,0.53,0.47,0.58,USA,"Population ages 15-64, total",SP.POP.1564.TO,108320395,109806029,111694584,113495962,115018817,116320150,118265318,120475148,122441662,124596742,126953729,129521198,132006670,134420257,136755049,139177308,141515889,143829512,146177580,148535061,150533903,152345271,153984654,155628063,157122255,158592615,160182740,161562819,162567856,163597119,165147772,166940233,168814806,170803325,172755766,174821805,177070760,179510803,181922559,184384947,186952253,189269845,191479586,193588057,195827384,198081570,200387285,202508658,204331171,205957039,207573780,208717283,209586568,210407309,211539193,212890784,213723220,214183259,214704199,214965169,216371883,216091065,216334609,216814687
Cyprus,Middle East,0.16,0.15,0.18,0.16,0.15,0.18,CYP,"Population ages 15-64, total",SP.POP.1564.TO,337512,342843,348602,354337,359660,364699,369700,374573,379316,384064,388856,393673,398451,403457,404114,403677,409749,418734,427461,435713,443346,450358,456810,463143,469953,477362,485206,493245,501232,509022,516618,524117,531977,541649,553478,566650,580904,595925,611408,627130,642939,658570,673874,689585,706301,723788,741705,759663,777291,794326,810597,822641,829867,835587,840546,845122,849505,853788,857904,861709,864290,865181,866553,868944
