Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
Kenya,"Africa (southern, eastern, western)",0.39,0.34,0.43,0.39,0.34,0.43,KEN,48.6799,49.533,50.2238,50.8083,51.3282,51.7,52.0974,52.4551,52.7809,53.1686,53.5749,54.258,55.0124,55.677,55.6344,55.8258,55.8953,56.4861,56.9444,57.722,58.5008,61.165,60.9531,61.0117,60.8037,60.58,60.2163,60.0435,59.5388,59.0397,58.6145,58.0052,57.2589,56.6168,56.2727,55.617,55.1612,54.816,54.5264,54.4948,54.4112,54.5079,54.9896,55.601,56.3615,57.344,58.2222,58.8651,59.6141,60.3649,60.649,61.0458,61.1152,61.3891,61.8162,61.8922,62.1632,62.4808,62.6765,62.9432,62.6755,61.427
Malawi,"Africa (southern, eastern, western)",1,1,1,0,0,0,MWI,35.1988,35.3264,35.6539,35.6185,35.6918,35.7244,35.8659,35.8966,36.0359,36.3208,36.7308,37.2389,37.9041,38.5442,39.2711,40.222,41.2266,42.2326,43.2903,44.268,45.0943,45.7007,45.9912,46.0376,45.5787,44.9473,44.3426,43.8112,43.3835,43.3395,43.3227,43.3124,43.4126,43.3876,43.5613,43.6414,43.4408,43.1312,42.8479,43.568,44.5181,45.895,47.2214,48.79,50.4534,52.0445,53.2377,53.946,54.6036,55.4476,56.3806,57.4547,58.6786,59.7288,60.8991,61.3781,62.2093,62.9769,63.2758,64.1188,63.7167,62.9044
Mozambique,"Africa (southern, eastern, western)",0.95,0.93,0.98,0.97,0.94,1,MOZ,41.2214,41.5904,41.8321,41.9345,41.6704,41.6994,41.6392,41.6634,41.6672,41.7099,41.7553,41.739,41.5902,41.7072,42.0645,42.5816,42.6353,42.7002,42.7951,42.7443,42.801,40.5362,40.7033,40.8299,38.3799,38.6568,40.6809,40.8426,43.8441,44.1434,44.469,44.6596,44.9492,45.3543,45.6065,46.04,46.6362,47.4078,48.0241,48.812,49.4912,50.0653,50.5895,50.8696,51.2495,51.561,51.961,52.5664,53.1639,53.7876,54.1984,54.869,55.6387,56.4919,57.2742,58.1509,59.038,59.7709,60.5261,61.1662,61.1722,59.3247
Namibia,"Africa (southern, eastern, western)",0.93,0.89,0.96,0.87,0.8,0.94,NAM,47.6787,48.3738,49.0869,49.7139,50.4342,51.0392,51.4386,52.0345,52.6013,53.1167,53.6304,54.2372,54.781,55.3743,55.8933,56.547,57.0148,57.5532,58.0849,58.4394,56.7746,57.1232,57.6438,57.969,58.5117,59.0413,59.5549,60.2072,60.2476,62.6416,62.4964,62.0982,61.5449,60.8596,59.8463,58.634,56.9178,55.5576,54.1014,53.036,51.9903,51.2604,51.2539,51.0832,51.2464,51.7866,52.6551,53.6799,54.6529,55.4959,56.0153,56.553,57.64,58.6938,59.8217,60.7002,61.6825,62.2931,62.5859,63.075,62.829,59.269
Niger,"Africa (southern, eastern, western)",0.13,0.07,0.19,0.13,0.07,0.19,NER,36.4044,36.5559,36.6391,36.7365,36.7438,36.7527,36.8072,36.83,36.6109,36.3542,36.0615,35.2933,35.6324,35.7037,36.0031,36.5876,36.976,37.6439,38.4505,39.202,39.678,40.1652,40.3007,40.3588,40.059,40.0309,40.1289,40.4331,40.7898,41.2206,41.8517,42.2176,42.9473,43.8172,44.7137,45.7738,46.6763,47.5053,48.1905,48.7377,49.3216,49.8407,50.5616,51.4344,52.5891,53.59,54.5965,55.5533,56.508,57.3961,58.3668,58.9941,59.6498,60.239,60.786,61.0827,61.6288,62.1599,62.4544,62.8967,61.4506,61.5763
Nigeria,"Africa (southern, eastern, western)",0.87,0.81,0.93,0,0,0,NGA,37.3709,37.6732,37.8092,38.1924,38.4152,38.6796,38.7973,37.5733,38.482,38.7176,39.7131,40.4802,41.273,42.0111,42.791,43.6623,44.7209,45.5584,46.0192,46.2155,46.3491,46.4935,46.5126,46.6382,46.5505,46.3171,45.9747,46.0176,46.072,46.1816,46.0374,45.6908,45.6678,45.7879,45.5132,45.487,45.5666,45.7924,46.0363,46.6139,47.1928,47.6187,47.9285,48.4405,48.7672,49.297,49.7305,50.033,50.2251,50.7124,50.9448,51.3573,51.4973,51.7068,51.7911,51.8413,52.0427,52.3052,52.5536,52.9104,52.887,52.676
Republic of Congo,"Africa (southern, eastern, western)",0.93,0.88,0.98,0,0,0,COG,47.9786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,"Africa (southern, eastern, western)",0.49,0.39,0.59,0.49,0.39,0.59,RWA,47.1785,47.6645,47.9908,44.0719,48.2379,48.2823,48.1665,48.0938,47.7455,47.3982,47.153,46.8291,46.4977,45.9053,45.3042,44.6979,44.6471,44.7966,45.4804,46.6592,47.9633,49.4225,50.6924,51.3186,51.6398,51.7344,51.6376,51.4771,50.9756,50.2197,48.4312,46.519,44.3189,42.1658,14.0985,39.9692,40.6979,40.6402,41.6813,44.6162,47.1292,49.0206,51.0322,53.3678,55.4912,57.316,58.7137,59.9653,61.1342,61.9578,62.5397,63.2615,64.0094,64.4257,64.9401,65.2977,65.7373,65.9409,66.2505,66.437,66.7741,66.0722
Senegal,"Africa (southern, eastern, western)",0.79,0.76,0.82,0,0,0,SEN,39.8783,39.9169,39.8564,39.8817,39.8849,39.8383,39.9611,40.0832,40.2677,40.459,40.8254,41.2189,41.7529,42.557,43.2108,44.0987,45.0978,46.1521,47.1968,48.1964,49.1421,49.8498,50.5639,51.1527,52.0149,52.7576,53.9277,54.8191,55.7736,56.4384,56.9484,57.1389,57.1124,56.9961,56.9545,56.8385,56.6719,56.591,56.4179,56.609,56.9434,57.5639,58.231,59.1219,60.0266,60.9152,61.7502,62.5429,63.2421,63.9231,64.6154,65.262,65.4567,66.0719,66.4519,66.8794,67.4969,67.7503,68.0966,68.5258,68.0064,67.0926
Somalia,"Africa (southern, eastern, western)",0.94,0.88,0.99,0.94,0.88,0.99,SOM,43.4519,43.5632,43.877,44.0999,44.3,44.5437,44.7598,44.9698,45.173,45.3698,45.5574,45.7467,45.94,46.1306,43.8177,44.1819,44.5684,46.918,46.9505,47.305,47.4891,47.6657,47.8297,48.1663,48.4591,48.2807,48.37,48.9027,43.8348,46.7173,47.1055,26.5647,27.3116,50.6485,50.3266,50.6005,50.4469,50.1947,50.6602,50.5245,50.6604,50.7403,50.7309,50.6139,50.5377,50.6606,50.5974,50.5147,51.1198,51.8533,50.563,51.3045,53.1611,53.8433,54.2773,54.857,55.0444,55.6536,56.3754,57.0776,55.9666,55.2803
South Africa,"Africa (southern, eastern, western)",0.81,0.77,0.84,0.77,0.72,0.81,ZAF,52.6685,53.0848,53.3757,53.6327,53.9058,54.192,54.3911,54.6264,54.8759,55.1943,55.5787,55.955,56.2722,56.7224,57.1171,57.5118,58.0061,58.4924,58.979,59.3945,59.8125,60.364,60.9329,61.4647,61.9065,62.3798,62.9123,63.0412,63.3454,63.3098,63.3753,63.2649,63.3414,63.0447,62.6118,62.2616,61.4593,60.8053,60.0008,59.2408,58.4704,57.2614,55.6662,54.3308,54.043,53.9797,54.2775,54.9922,56.0222,57.4474,58.8987,60.6507,61.8457,62.5331,63.3796,63.9499,64.7469,65.402,65.6743,66.175,65.2522,62.341
Sudan,"Africa (southern, eastern, western)",0.55,0.53,0.57,0.53,0.5,0.55,SDN,46.6026,47.0234,47.3544,46.1888,49.4572,46.9347,44.6258,45.0564,45.4558,45.1473,45.5343,49.6461,49.9251,53.0689,53.2301,53.3769,53.4621,53.6483,53.4404,53.5586,53.9338,54.0779,54.3211,47.4501,46.2198,46.458,51.481,43.4405,35.9228,49.3367,49.7321,50.2129,45.8909,46.5752,56.6437,51.991,52.2756,52.8331,48.8104,57.0148,58.3185,58.5615,58.9763,58.1999,56.7726,57.2786,60.2806,61.2564,61.2055,62.6439,63.0161,63.2463,63.7922,63.6779,64.2691,64.6587,64.7801,65.4447,65.681,65.8755,65.6136,65.2667
Tanzania,"Africa (southern, eastern, western)",0.45,0.41,0.49,0.45,0.41,0.49,TZA,42.9367,43.1002,43.2845,43.4937,43.7473,44.0263,44.3807,44.7559,45.3661,45.9729,46.4495,46.9174,47.3244,47.9781,48.3065,48.7219,49.236,49.8421,50.3206,50.9074,51.2009,51.4725,51.528,51.543,51.5464,51.5559,51.6717,51.7257,51.8434,51.7394,51.4849,51.3058,50.9888,50.8698,50.797,50.7858,50.7443,50.6243,50.914,51.7476,52.3623,53.161,53.8634,54.8949,55.5963,56.2991,56.9111,57.52,58.0861,58.8937,60.1048,61.0492,62.0303,62.9603,63.8733,64.6507,65.3862,65.9987,66.5346,66.9885,66.4077,66.2007
Uganda,"Africa (southern, eastern, western)",0.87,0.8,0.94,0.91,0.85,0.98,UGA,45.5059,46.2571,46.9652,47.4306,47.8885,48.2401,48.3379,48.9618,49.2126,49.5108,49.616,46.9298,46.9667,46.8395,46.6124,46.2673,45.8692,45.5111,45.2072,44.9808,42.9491,43.0905,43.1854,43.5192,43.7525,45.3807,45.322,46.6189,46.7008,46.472,46.4426,46.3156,46.3684,46.2367,46.3526,46.5674,46.6701,46.9767,47.1747,47.7857,48.3415,49.0061,49.6476,50.3682,51.5469,52.9756,54.3688,55.2365,55.823,56.4881,57.0547,57.9651,58.8166,59.7628,60.4081,61.0856,61.6479,62.115,62.7139,62.9913,62.8513,62.7048
Zambia,"Africa (southern, eastern, western)",1,1,1,0,0,0,ZMB,49.042,49.4524,49.7936,50.1329,49.8491,50.5634,50.6788,50.8023,50.8563,51.147,51.4927,52.0225,52.6285,53.2999,53.8701,54.2387,54.6043,54.7088,54.61,54.4387,54.1426,54.0469,53.8594,53.3891,52.7551,51.9023,51.0614,50.3276,49.527,48.6957,47.9263,47.0971,46.5119,46.2094,45.8543,45.5534,45.2326,44.9446,44.7011,44.6589,45.2312,46.0188,46.9791,48.284,49.4873,50.6591,51.7955,52.7389,53.9449,55.3004,56.7991,57.7708,58.8672,59.8777,60.699,61.2078,61.7937,62.1201,62.3422,62.7926,62.3803,61.2234
Austria,"Europe (western, southern, northern)",0.22,0.19,0.25,0.22,0.19,0.25,AUT,68.7468,69.7131,69.4992,69.6529,70.1195,69.9318,70.2229,70.1158,70.2681,70.0416,70.0864,70.2909,70.6202,71.1961,71.1749,71.3273,71.7889,72.1359,72.2042,72.5441,72.6689,72.9914,73.1448,73.2181,73.7673,73.9876,74.4588,74.9014,75.3758,75.4648,75.7396,75.7931,75.9931,76.2258,76.5425,76.7766,77.0268,77.4292,77.7833,77.956,78.2358,78.7192,78.8469,78.8496,79.3632,79.521,79.9655,80.1672,80.3639,80.207,80.4643,80.8285,80.841,81.0783,81.3903,81.1594,81.5925,81.6391,81.6862,81.9077,81.5036,81.5797
Belgium,"Europe (western, southern, northern)",0.15,0.13,0.17,0.15,0.13,0.17,BEL,69.6224,70.4958,70.224,70.0398,70.703,70.5528,70.6288,70.9114,70.6075,70.6734,70.9354,71.0848,71.4104,71.6335,71.9694,71.9627,72.102,72.7562,72.7035,73.1971,73.2392,73.6494,73.877,73.8777,74.3666,74.4659,74.6658,75.2876,75.5877,75.6434,76.0554,76.1962,76.3554,76.3611,76.7142,76.8385,77.1825,77.4004,77.4743,77.6457,77.7665,78.0807,78.1667,78.3198,78.9599,79.0526,79.3884,79.5262,79.5769,79.847,80.033,80.3649,80.2607,80.468,81.0811,80.8898,81.2661,81.3618,81.4787,81.8311,80.7884,81.8787
Denmark,"Europe (western, southern, northern)",0.04,0,0.09,0.04,0,0.09,DNK,72.1957,72.4522,72.3513,72.4185,72.5072,72.3879,72.4655,72.9537,73.1459,73.2434,73.3635,73.4293,73.4689,73.6954,73.823,74.1009,73.7691,74.6589,74.4256,74.2397,74.1279,74.2484,74.5941,74.4528,74.6137,74.4774,74.6372,74.7431,74.838,74.8579,74.8636,75.2256,75.2672,75.1877,75.4394,75.2856,75.6623,76.0397,76.4343,76.5763,76.8137,76.9721,77.0973,77.3992,77.7836,78.2243,78.2218,78.348,78.7134,78.9565,79.2459,79.7845,80.0807,80.3042,80.6302,80.738,80.8803,81.1112,80.99,81.4337,81.5449,81.3753
Finland,"Europe (western, southern, northern)",0.19,0.18,0.2,0.19,0.18,0.2,FIN,68.9931,69.0111,68.7419,69.1792,69.3793,69.1269,69.6446,69.8171,69.7829,69.6478,70.3242,70.1468,70.8673,71.3662,71.2923,71.8375,71.9887,72.5133,73.0801,73.3599,73.6489,73.9647,74.53,74.4374,74.7433,74.4235,74.7662,74.7988,74.7645,74.9686,74.9893,75.4071,75.6469,75.8849,76.5748,76.6039,76.8696,77.0641,77.2591,77.4508,77.6712,78.1422,78.2698,78.5333,78.846,78.9713,79.3729,79.3907,79.695,79.831,80.0117,80.3915,80.5008,80.8831,81.0125,81.4178,81.2915,81.4976,81.6266,81.8706,81.8657,82.0381
France,"Europe (western, southern, northern)",0.36,0.32,0.39,0.25,0.17,0.33,FRA,70.3667,70.9586,70.4713,70.3223,71.2797,71.1034,71.5098,71.4927,71.4792,71.2021,72.0902,72.0746,72.3163,72.4799,72.8103,72.9072,73.1262,73.7307,73.8459,74.1255,74.2332,74.3957,74.7649,74.7329,75.2151,75.305,75.5733,76.1426,76.3942,76.5408,76.8335,77.0143,77.2958,77.348,77.7678,77.8713,78.0613,78.4254,78.5885,78.7505,79.0472,79.2235,79.4129,79.421,80.3393,80.3394,80.7483,80.9672,81.049,81.1777,81.4275,81.813,81.774,82.0159,82.4761,82.1857,82.4372,82.4732,82.5909,82.7315,82.2104,82.4988
Germany,"Europe (western, southern, northern)",0.16,0.15,0.18,0.16,0.15,0.18,DEU,69.2428,69.831,69.9918,70.1116,70.6446,70.6235,70.7416,70.9571,70.6045,70.456,70.6798,70.9158,71.1537,71.3674,71.6839,71.5205,71.9816,72.592,72.5723,72.9206,73.0924,73.3368,73.6334,73.9233,74.3854,74.4972,74.7001,75.1121,75.2991,75.4848,75.3588,75.5759,76.0187,76.0959,76.3931,76.5619,76.7922,77.2259,77.5768,77.8056,78.0637,78.4095,78.4827,78.5443,79.1263,79.2618,79.5906,79.7412,79.8261,79.9248,80.0864,80.36,80.5058,80.4633,80.9151,80.5742,80.8471,80.9442,81.1717,81.5584,81.1472,80.6301
Greece,"Europe (western, southern, northern)",0.55,0.52,0.59,0.75,0.7,0.79,GRC,69.3517,70.395,70.3307,70.6855,70.6377,71.4959,71.8126,71.3622,71.4901,72.0608,72.8222,73.0646,72.8316,73.0284,73.4672,73.4182,73.6654,73.7024,74.39,74.6548,74.5776,74.9931,75.2868,75.5533,75.8086,76.1241,76.5191,76.3126,77.0064,77.1245,77.2959,77.3694,77.282,77.654,77.8029,77.8214,77.9568,78.3187,78.2311,78.3498,78.3771,78.8359,78.9691,79.0293,79.2893,79.5899,79.7073,79.612,80.049,80.2994,80.5102,80.5469,80.3409,80.9738,81.007,80.6676,81.1617,80.8501,81.3907,81.2489,80.9092,80.1106
Ireland,"Europe (western, southern, northern)",0.04,-0.01,0.09,0.04,-0.01,0.09,IRL,70.1704,69.6388,69.9478,70.1907,70.4468,70.6441,70.1571,71.201,70.8861,70.8003,70.8348,71.6227,70.9563,71.1728,71.1153,71.6912,71.8001,71.9423,71.9338,72.1829,72.5397,72.8896,73.1579,73.1813,73.6253,73.5641,73.6129,74.4098,74.4285,74.4543,74.8418,75.031,75.4278,75.2942,75.8013,75.4783,75.83,75.98,76.1889,76.094,76.5423,77.1087,77.5999,78.1107,78.5126,78.9162,79.1518,79.5547,79.7625,80.0461,80.5226,80.6332,80.7523,80.9675,81.3067,81.4163,81.5498,81.9168,82.0863,82.2586,82.4699,81.9976
Italy,"Europe (western, southern, northern)",0.72,0.71,0.74,0.72,0.7,0.74,ITA,69.2074,69.8205,69.2195,69.3164,70.384,70.2596,70.9982,71.0336,70.8677,70.8629,71.6286,71.8821,72.1447,72.105,72.8036,72.7282,73.0702,73.4403,73.7768,74.1072,74.0531,74.439,74.9132,74.7345,75.4972,75.6032,75.9131,76.3368,76.5228,76.922,76.9909,76.9891,77.3642,77.6524,77.8724,78.1161,78.4367,78.7334,78.8062,79.2044,79.6072,79.8859,80.1136,80.1929,81.0199,81.023,81.4169,81.5029,81.6466,81.7633,82.1371,82.235,82.2588,82.6599,82.908,82.5255,83.0492,82.7282,83.1847,83.552,82.3953,82.8502
Netherlands,"Europe (western, southern, northern)",0.12,0.11,0.12,0.1,0.1,0.11,NLD,73.3536,73.5509,73.2238,73.3514,73.7358,73.6061,73.555,73.8329,73.6376,73.5601,73.6279,73.8716,73.7834,74.2299,74.607,74.5543,74.6707,75.2642,75.1731,75.6458,75.7712,75.9898,76.0603,76.2529,76.3235,76.3717,76.3508,76.8088,76.9953,76.8312,77.0067,77.1564,77.3595,77.0352,77.5128,77.5454,77.5498,77.9245,77.9971,77.9601,78.1222,78.3304,78.4046,78.6571,79.2308,79.4797,79.8376,80.2452,80.3766,80.66,80.8186,81.0999,81.0495,81.2919,81.6425,81.4821,81.547,81.7291,81.7741,82.0455,81.6381,81.6873
Norway,"Europe (western, southern, northern)",0.12,0.08,0.16,0.12,0.08,0.16,NOR,73.5646,73.565,73.4598,73.0974,73.6087,73.7273,74.0081,74.0742,73.9461,73.6674,74.0714,74.1754,74.3497,74.4409,74.7639,74.817,75.0483,75.398,75.4263,75.4158,75.6726,75.8818,76.0192,76.0789,76.2469,75.9327,76.2534,76.1021,76.2709,76.5435,76.5865,77.0382,77.2461,77.2206,77.7726,77.7967,78.2332,78.2386,78.4083,78.3868,78.6919,78.8959,78.9605,79.5294,79.9648,80.1699,80.4411,80.5033,80.678,80.8669,81.0401,81.243,81.4437,81.6666,82.0859,82.2718,82.4147,82.624,82.7605,82.9552,83.1951,83.2339
Portugal,"Europe (western, southern, northern)",0.4,0.33,0.47,0.4,0.33,0.47,PRT,64.1516,62.8071,64.3194,64.9301,65.1288,66.098,65.6117,66.4663,66.8186,66.3982,67.0593,66.8501,69.1604,68.6044,69.1236,68.846,69.1034,70.3455,70.7971,71.6075,71.6648,71.8908,72.6997,72.6551,72.935,73.2162,73.6471,74.063,74.0853,74.6646,74.304,74.2401,74.8701,74.7614,75.73,75.5501,75.4763,75.9227,76.1164,76.3221,76.8304,77.1508,77.3676,77.5784,78.4199,78.3053,79.0713,79.281,79.5613,79.7706,80.035,80.4971,80.4784,80.8172,81.2157,81.2093,81.2324,81.498,81.3947,81.7007,81.0545,81.0443
Spain,"Europe (western, southern, northern)",0.29,0.27,0.31,0.28,0.25,0.32,ESP,69.2078,69.5692,69.631,69.7684,70.4966,70.9025,71.1621,71.3507,71.6762,71.1402,72.1514,71.7373,72.9557,72.7348,73.0951,73.4945,73.8093,74.3091,74.4985,74.9918,75.5281,75.708,76.3207,76.0985,76.4841,76.4119,76.7041,76.9573,76.9501,76.9991,77.0017,77.1299,77.5904,77.7302,78.1166,78.2029,78.3417,78.8534,78.9428,78.9478,79.4172,79.7444,79.8238,79.7548,80.3362,80.3283,80.9725,80.9803,81.2902,81.6408,82.0214,82.1974,82.2112,82.7199,82.858,82.6464,83.0411,83.0295,83.1436,83.5321,82.2892,83.01
Sweden,"Europe (western, southern, northern)",0.07,0.04,0.09,0.07,0.04,0.09,SWE,73.0364,73.4881,73.3503,73.5323,73.7049,73.8723,74.1013,74.1474,74.0007,74.113,74.6642,74.6009,74.7046,74.8643,74.9681,74.9767,74.9722,75.393,75.4835,75.5227,75.743,76.0403,76.3493,76.5792,76.8395,76.6902,76.9537,77.1077,76.9968,77.6532,77.5883,77.7281,78.0709,78.1352,78.7465,78.8214,79.0435,79.2711,79.4155,79.5079,79.7382,79.8359,79.9347,80.195,80.5462,80.621,80.8317,80.9697,81.1371,81.3631,81.5187,81.7581,81.7296,81.9348,82.2233,82.1834,82.3391,82.4382,82.5326,83.0524,82.4274,82.9833
United Kingdom,"Europe (western, southern, northern)",0.08,0.07,0.09,0.08,0.08,0.09,GBR,71.0243,70.7895,70.8593,70.7645,71.5487,71.5244,71.4391,72.0751,71.6872,71.6646,71.8843,72.236,71.9897,72.1866,72.3781,72.6523,72.6366,73.1137,73.0446,73.1622,73.593,73.9187,74.0411,74.2947,74.6767,74.5378,74.7958,75.1476,75.2612,75.3953,75.7359,75.9098,76.3063,76.1627,76.7221,76.6164,76.8748,77.1418,77.277,77.3757,77.8525,78.1239,78.2411,78.334,78.9045,79.1116,79.355,79.5424,79.6652,80.1668,80.4008,80.8046,80.8659,80.9291,81.1602,80.9238,81.0747,81.1684,81.1254,81.725,80.4345,80.7422
