Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
Colombia,America,0.8,0.73,0.87,0.8,0.73,0.87,COL,57.1305,57.73,58.301,58.8922,59.3753,59.8149,60.2041,60.5311,60.8708,61.2163,61.5694,62.0514,62.5686,63.0604,63.6401,64.2702,64.845,65.424,65.9544,66.3797,66.8676,67.1972,67.5308,67.745,67.9793,66.2765,68.2597,68.2676,68.3908,68.5326,68.644,68.8127,69.0381,69.3418,69.6132,69.9325,70.1885,70.4919,70.7378,70.9257,71.3201,71.502,71.9389,72.3606,72.6951,73.0814,73.468,73.8372,74.295,74.7418,75.0327,75.3198,75.5973,75.8267,76.0427,76.2573,76.4713,76.6456,76.7479,76.7523,74.7692,72.8296
Mexico,America,0.48,0.44,0.52,0.48,0.44,0.52,MEX,55.0168,55.8315,56.5985,57.3102,57.947,58.4992,58.9807,59.4196,59.8349,60.2503,60.6898,61.1551,61.6143,62.0549,62.4588,62.8105,63.1235,63.4339,63.7779,64.1886,64.7026,65.3132,65.9747,66.6439,67.2904,67.8739,68.3876,68.8435,69.2532,69.6226,69.9707,70.2977,70.6161,70.9423,71.2787,71.6457,72.0369,72.4454,72.8448,73.2249,73.5692,73.8668,74.1059,74.2743,74.372,74.3765,74.3313,74.2384,74.1524,74.119,74.1901,74.3651,74.574,74.7391,74.7974,74.6822,74.4122,74.1378,74.0146,74.2021,70.1328,70.2127
Uruguay,America,0.65,0.59,0.71,0.65,0.59,0.71,URY,67.7722,67.895,67.9941,68.0837,68.179,68.2937,68.4265,68.5577,68.6983,68.815,68.9036,68.9686,68.9328,69.0961,69.1927,69.3346,69.5226,69.7463,69.9995,70.279,70.5818,70.9006,71.2228,71.5387,71.8405,72.1225,72.381,72.6134,72.82,73.002,73.1617,73.3051,73.4412,73.579,73.7276,73.896,74.0876,74.298,74.5267,74.7695,75.0247,75.2851,75.5399,75.7851,76.0069,76.1935,76.3615,76.4981,76.623,76.7384,76.858,76.9833,77.111,77.24,77.3663,77.4827,77.5707,77.6247,77.611,77.5085,78.4298,75.4356
Canada,America,0.59,0.44,0.74,0.59,0.44,0.74,CAN,70.9758,71.2185,71.24,71.2699,71.6424,71.7518,71.8708,72.0842,72.2406,72.3985,72.6118,72.9514,72.828,73.0715,73.1446,73.451,73.8726,74.1557,74.4848,74.8395,75.0637,75.4839,75.6939,76.0673,76.3556,76.3472,76.4892,76.7956,76.8595,77.1216,77.4308,77.5917,77.8501,77.7229,77.8991,78.0194,78.271,78.4642,78.6739,78.8851,79.2335,79.4507,79.568,79.7396,80.0332,80.1364,80.5466,80.5495,80.7388,81.0737,81.3469,81.5286,81.7221,81.8029,81.8545,81.9246,82.0434,82.0192,82.0508,82.3628,82.0471,82.6565
United States,America,0.36,0.33,0.39,0.53,0.47,0.58,USA,69.8132,70.2385,70.1035,69.9321,70.1896,70.2417,70.2045,70.5187,70.2021,70.4785,70.7353,71.0957,71.172,71.3883,71.9499,72.5337,72.8339,73.2152,73.397,73.8202,73.7172,74.1052,74.4526,74.5432,74.6658,74.6421,74.7218,74.8538,74.828,75.1038,75.3699,75.5227,75.7776,75.567,75.7377,75.8536,76.1753,76.498,76.66,76.6718,76.8114,76.9285,77.0005,77.1536,77.5581,77.5573,77.8386,78.1004,78.1958,78.564,78.7724,78.82,78.9441,78.9507,79.0175,78.8694,78.8482,78.8213,78.9896,79.138,77.4144,77.1982
Cyprus,Middle East,0.16,0.15,0.18,0.16,0.15,0.18,CYP,64.1871,64.8039,65.424,62.2818,62.7898,67.0519,67.495,67.917,68.2734,68.4903,68.9274,69.3301,69.8113,70.1633,55.2298,70.5177,71.0401,71.3025,71.7673,71.895,71.95,71.941,71.9805,72.3113,72.2547,72.6468,72.6514,73.0892,73.1294,73.4797,73.5387,73.7158,74.1774,74.6497,74.7201,75.1329,75.5217,75.8415,76.1824,76.2948,76.568,76.9889,77.4873,77.7879,77.9435,78.1008,78.3708,78.8103,78.9812,79.4006,79.665,79.9991,80.1094,80.4016,80.7706,80.9665,81.0563,81.328,81.382,81.397,81.3905,81.2033
Iraq,Middle East,0.93,0.88,0.98,0.93,0.88,0.98,IRQ,52.6178,53.4111,54.3262,54.9477,55.6331,56.6156,57.3483,58.37,58.7809,59.32,60.1861,60.9092,61.388,62.0303,60.8985,61.4639,63.7147,64.2276,64.4011,64.7906,61.5001,59.3312,59.7327,60.0612,60.219,60.6798,60.8735,61.1764,57.4664,58.2346,58.4355,62.519,66.7077,66.8969,66.7442,66.4641,66.3907,65.8372,65.4859,66.1816,66.8171,67.0339,67.0836,65.6427,65.0307,64.8438,63.5873,63.5527,64.9421,66.4457,67.0622,67.659,68.0232,68.2534,68.9136,69.4403,68.9878,70.4126,71.5143,71.5764,69.1228,70.3779
Israel,Middle East,0.89,0.88,0.91,0.9,0.88,0.92,ISR,70.4249,70.7832,70.9946,71.1058,71.2486,71.307,71.3923,71.4423,71.3231,71.3673,71.3617,71.502,71.5684,71.6699,71.8115,72.1314,72.5307,72.7887,73.1405,73.4284,73.7095,74.2136,73.8081,74.6941,75.0231,75.3482,75.1465,75.6193,76.0634,76.6526,77.1942,77.0002,76.869,77.4502,77.6892,77.6352,78.2791,78.2718,78.4402,78.6971,78.9276,79.3448,79.2593,79.6242,80.1467,80.2171,80.5057,80.6651,81.0552,81.5756,81.7443,81.7274,81.7346,82.1154,82.2236,82.0999,82.4854,82.7195,82.8232,82.8123,82.3598,82.255
Jordan,Middle East,0.56,0.48,0.64,0.43,0.29,0.57,JOR,52.6173,53.6709,54.6579,55.5752,56.559,57.4153,57.8691,59.0103,59.7525,60.4439,59.8699,61.6121,62.3487,62.9085,63.4336,63.9608,64.4895,64.9813,65.4355,65.8506,66.2588,66.7141,67.1537,67.555,67.9249,68.2595,68.5665,68.8842,69.2522,69.5695,69.8538,70.0929,70.3163,70.518,70.6986,70.8699,71.0643,71.2725,71.4744,71.694,71.9178,72.1467,72.3585,72.5734,72.7725,72.9321,73.1449,73.3728,73.591,73.8014,73.9996,74.1891,74.3659,74.5621,74.7889,75.0112,75.2153,75.5018,75.7743,76.044,75.1843,74.2563
Kuwait,Middle East,0.56,0.5,0.62,0.5,0.43,0.57,KWT,56.919,58.0154,59.0787,60.1624,61.1578,62.2193,63.0748,63.9859,64.7354,65.6775,66.5303,67.0578,67.4208,67.5783,67.9298,67.8922,68.2063,68.5845,69.0122,69.677,70.3411,71.0811,71.4978,72.0199,72.6101,73.0738,73.5581,74.1101,74.5198,74.8255,73.2805,74.2164,75.6914,75.7944,75.7633,75.5368,75.6184,75.8787,76.1569,76.4159,76.722,76.8915,76.9822,76.9848,76.7924,76.9027,76.8868,77.0168,77.1455,77.4416,77.9817,78.4636,78.8118,79.1641,79.4449,79.5624,79.7011,79.7806,79.7217,79.685,76.9198,78.6729
