"Tanzania","Africa (southern, eastern, western)",0.45,0.41,0.49,0.45,0.41,0.49,"TZA",4.69,5.34,5.74,6.32,7.6,6.88,5.56,5.06,5.22,5.06,5.02,4.65,4.01,3.65,3.96,4.08,4.16,3.88,2.94,3.36,3.42,4.24,NA
"Uganda","Africa (southern, eastern, western)",0.87,0.8,0.94,0.91,0.85,0.98,"UGA",4.77,4.3,4.7,5.81,6.46,6.11,5.45,5.79,6.81,6.7,6.11,5.78,5.34,5.07,4.96,4,4.02,3.8,4.3,4.67,5.08,5.05,NA
"Zambia","Africa (southern, eastern, western)",1,1,1,0,0,0,"ZMB",5.89,6,5.48,6.33,5.58,4.58,4.47,5.16,3.97,3.96,4.05,4.57,3.83,4.43,4.47,4.78,4.77,6.75,6.32,6.62,4.17,4.83,NA
"Austria","Europe (western, southern, northern)",0.22,0.19,0.25,0.22,0.19,0.25,"AUT",9.39,9.55,9.71,9.63,9.53,9.53,9.73,10.23,10.22,10.03,10.2,10.29,10.37,10.37,10.35,10.38,10.35,10.49,11.39,12.1,9.2,9.27,NA
"Belgium","Europe (western, southern, northern)",0.15,0.13,0.17,0.15,0.13,0.17,"BEL",8.32,9.16,9.33,9.22,9.13,9.14,9.6,10.32,10.2,10.36,10.5,10.58,10.61,10.8,10.79,10.8,10.86,10.79,11.2,11.04,8,8.15,NA
"Denmark","Europe (western, southern, northern)",0.04,0,0.09,0.04,0,0.09,"DNK",8.7,8.9,9.01,9.09,9.17,9.33,9.51,10.67,10.61,10.41,10.52,10.33,10.31,10.34,10.25,10.1,10.1,10.15,10.56,10.82,8.1,8.45,NA
"Finland","Europe (western, southern, northern)",0.19,0.18,0.2,0.19,0.18,0.2,"FIN",7.63,7.94,8.06,8.29,8.28,8.08,8.34,9.16,9.14,9.22,9.59,9.81,9.78,9.65,9.38,9.13,9.05,9.17,9.63,10.25,7.09,7.25,NA
"France","Europe (western, southern, northern)",0.36,0.32,0.39,0.25,0.17,0.33,"FRA",10.02,10.08,10.16,10.21,10.39,10.32,10.5,11.29,11.23,11.18,11.3,11.4,11.54,11.45,11.47,11.35,11.21,11.09,12.13,12.31,9.58,9.71,NA
"Germany","Europe (western, southern, northern)",0.16,0.15,0.18,0.16,0.15,0.18,"DEU",10.18,10.4,10.15,10.31,10.18,10.05,10.25,11.24,11.1,10.78,10.85,11,11.03,11.19,11.24,11.34,11.48,11.72,12.69,12.93,9.89,9.92,NA
"Greece","Europe (western, southern, northern)",0.55,0.52,0.59,0.75,0.7,0.79,"GRC",8.23,8.45,8.09,8.56,8.26,8.4,8.83,9.41,9.6,9.19,8.92,8.44,7.89,8.22,8.45,8.14,8.12,8.2,9.5,9.17,7.24,7.99,NA
"Ireland","Europe (western, southern, northern)",0.04,-0.01,0.09,0.04,-0.01,0.09,"IRL",6.67,7.01,7.22,7.64,7.52,7.81,9.13,10.52,10.52,10.61,10.6,10.28,9.51,7.34,7.47,7.13,6.5,6.71,7.11,6.72,5.9,6.39,NA
"Italy","Europe (western, southern, northern)",0.72,0.71,0.74,0.72,0.7,0.74,"ITA",7.87,7.83,8.17,8.34,8.44,8.14,8.53,8.95,8.92,8.77,8.78,8.78,8.87,8.86,8.73,8.68,8.68,8.66,9.63,9.38,7.57,7.74,NA
"Netherlands","Europe (western, southern, northern)",0.12,0.11,0.12,0.1,0.1,0.11,"NLD",8.65,9.06,9.11,9.1,9.08,9.05,9.28,9.99,10.16,10.23,10.54,10.58,10.57,10.32,10.29,10.11,10.02,10.14,11.21,11.29,7.71,8.06,NA
"Norway","Europe (western, southern, northern)",0.12,0.08,0.16,0.12,0.08,0.16,"NOR",8.98,9.19,8.8,8.3,7.88,8.02,7.92,9.03,8.86,8.73,8.72,8.87,9.28,10.07,10.53,10.23,9.96,10.44,11.25,9.92,7.7,8.01,NA
"Portugal","Europe (western, southern, northern)",0.4,0.33,0.47,0.4,0.33,0.47,"PRT",8.79,9.12,9.53,9.65,9.35,9.25,9.58,10.13,10.03,9.73,9.65,9.4,9.34,9.32,9.39,9.31,9.41,9.51,10.55,11.14,8.6,8.63,NA
"Spain","Europe (western, southern, northern)",0.29,0.27,0.31,0.28,0.25,0.32,"ESP",6.8,7.56,7.66,7.73,7.83,7.92,8.38,9.11,9.12,9.17,9.15,9.06,9.08,9.12,8.95,8.94,9,9.15,10.75,10.74,6.8,6.77,NA
"Sweden","Europe (western, southern, northern)",0.07,0.04,0.09,0.07,0.04,0.09,"SWE",8.21,8.32,8.13,8.15,8.05,8,8.21,8.77,8.32,10.42,10.74,10.9,10.95,10.8,10.85,10.79,10.94,10.83,11.33,11.25,7.33,7.9,NA
"United Kingdom","Europe (western, southern, northern)",0.08,0.07,0.09,0.08,0.08,0.09,"GBR",7.65,8.06,8.31,8.36,8.63,8.62,9.03,10.05,9.93,9.92,9.95,9.87,9.86,9.8,9.73,9.6,9.73,9.96,12.16,12.36,7.13,7.34,NA
