Country,Code,Year,"Physicians (per 1,000 people)","GDP per capita, PPP (constant 2017 international $)",Population (historical),Continent,time,time,time,time
Kyrgyzstan,KGZ,2021,2.168,5258.3667,6820483,Asia,2021,2015,2019,2019
Laos,LAO,2021,0.327,7846.975,7453191,Asia,2021,2015,2021,2021
Latvia,LVA,2021,3.345,29575.568,1885592,Europe,2021,2015,2020,2020
Lebanon,LBN,2021,2.617,17185.047,5718127,Asia,2021,2015,2019,2019
Lesotho,LSO,2021,0.454,2501.43,2261549,Africa,2021,2015,2018,2018
Liberia,LBR,2021,0.05,1521.7335,5259326,Africa,2021,2015,2018,2018
Lithuania,LTU,2021,4.95,39432.402,2794489,Europe,2021,2015,2021,2021
Madagascar,MDG,2021,0.195,1557.3225,29691087,Africa,2021,2015,2018,2018
Malawi,MWI,2021,0.049,1489.6014,20047263,Africa,2021,2015,2020,2020
Malaysia,MYS,2021,2.228,25852.19,34282405,Asia,2021,2015,2020,2020
Maldives,MDV,2021,2.161,20988.092,516162,Asia,2021,2015,2019,2019
Mali,MLI,2021,0.123,2185.5757,22388638,Africa,2021,2015,2018,2018
Malta,MLT,2021,5.485,46598.96,524383,Europe,2021,2015,2021,2021
Mauritania,MRT,2021,0.192,5367.2144,4734875,Africa,2021,2015,2018,2018
Mauritius,MUS,2021,2.658,20231.852,1279627,Africa,2021,2015,2020,2020
Mexico,MEX,2021,2.441,18639.662,127648152,North America,2021,2015,2020,2020
Micronesia (country),FSM,2021,0.963,3420.516,111636,Oceania,2021,2015,2020,2020
Moldova,MDA,2021,4.057,11848.899,3023780,Europe,2021,2015,2020,2020
Mongolia,MNG,2021,3.859,12052.294,3339678,Asia,2021,2015,2018,2018
Montenegro,MNE,2021,2.768,20710.535,603854,Europe,2021,2015,2021,2021
Mozambique,MOZ,2021,0.081,1231.8641,31707797,Africa,2021,2015,2021,2021
Myanmar,MMR,2021,0.751,5214.3735,53387102,Asia,2021,2015,2019,2019
Namibia,NAM,2021,0.601,10266.171,2810553,Africa,2021,2015,2018,2018
Nepal,NPL,2021,0.867,3853.6802,29475018,Asia,2021,2015,2021,2021
Netherlands,NLD,2021,3.836,54275.004,17730564,Europe,2021,2015,2020,2020
New Zealand,NZL,2021,3.516,44041.902,5107696,Oceania,2021,2015,2021,2021
Nicaragua,NIC,2021,0.664,5636.7153,6644745,North America,2021,2015,2018,2018
Niger,NER,2021,0.034,1214.541,24502144,Africa,2021,2015,2020,2020
Nigeria,NGA,2021,0.395,4922.6323,218529285,Africa,2021,2015,2021,2021
Norway,NOR,2021,5.168,65915.53,5408081,Europe,2021,2015,2021,2021
Oman,OMN,2021,1.994,33098.21,4500427,Asia,2021,2015,2020,2020
Pakistan,PAK,2021,1.084,5157.5464,239477805,Asia,2021,2015,2019,2019
Palau,PLW,2021,1.778,16404.549,17809,Oceania,2021,2015,2020,2020
Palestine,PSE,2021,2.168,6318.21,5185341,Asia,2021,2015,2018,2018
Panama,PAN,2021,1.629,26606.295,4345410,North America,2021,2015,2020,2020
Papua New Guinea,PNG,2021,0.063,3637.9133,10012899,Oceania,2021,2015,2021,2021
Paraguay,PRY,2021,3.242,13676.391,6684184,South America,2021,2015,2021,2021
Peru,PER,2021,1.646,12533.842,33155883,South America,2021,2015,2021,2021
Philippines,PHL,2021,0.786,8095.5796,113100946,Asia,2021,2015,2021,2021
Poland,POL,2021,3.714,32546.826,38040304,Europe,2021,2015,2020,2020
Portugal,PRT,2021,5.615,32011.324,10390956,Europe,2021,2015,2020,2020
Qatar,QAT,2021,2.499,91461.62,2814989,Asia,2021,2015,2018,2018
Russia,RUS,2021,3.827,26586.555,145836172,Europe,2021,2015,2020,2020
Rwanda,RWA,2021,0.116,2190.562,13355260,Africa,2021,2015,2019,2019
Saint Kitts and Nevis,KNA,2021,3.034,29934.469,46786,North America,2021,2015,2018,2018
Samoa,WSM,2021,0.554,6062.4717,213792,Oceania,2021,2015,2020,2020
Sao Tome and Principe,STP,2021,0.489,3482.0247,221975,Africa,2021,2015,2019,2019
Saudi Arabia,SAU,2021,2.789,46768.434,31328374,Asia,2021,2015,2021,2021
Senegal,SEN,2021,0.084,3384.442,17220866,Africa,2021,2015,2020,2020
Seychelles,SYC,2021,2.107,29189.785,123000,Africa,2021,2015,2019,2019
Sierra Leone,SLE,2021,0.07,1586.355,8094603,Africa,2021,2015,2020,2020
Singapore,SGP,2021,2.434,98455.33,5546292,Asia,2021,2015,2019,2019
Slovakia,SVK,2021,4.629,32512.695,5442767,Europe,2021,2015,2021,2021
Slovenia,SVN,2021,3.279,37155.023,2113495,Europe,2021,2015,2020,2020
South Africa,ZAF,2021,0.809,13337.79,61502601,Africa,2021,2015,2021,2021
South Korea,KOR,2021,2.508,42396.76,51848401,Asia,2021,2015,2020,2020
Spain,ESP,2021,4.577,36051.418,47735670,Europe,2021,2015,2020,2020
Sri Lanka,LKA,2021,1.192,13250.63,22700377,Asia,2021,2015,2021,2021
Suriname,SUR,2021,0.795,18438.348,617905,South America,2021,2015,2018,2018
Sweden,SWE,2021,7.062,51331.28,10416136,Europe,2021,2015,2020,2020
Switzerland,CHE,2021,4.443,71044.87,8707018,Europe,2021,2015,2021,2021
Tanzania,TZA,2021,0.05,2511.8293,62830413,Africa,2021,2015,2018,2018
Thailand,THA,2021,0.928,16865.549,71727340,Asia,2021,2015,2020,2020
Togo,TGO,2021,0.059,2130.859,8878384,Africa,2021,2015,2021,2021
Tonga,TON,2021,1.009,6142.9634,105504,Oceania,2021,2015,2021,2021
Trinidad and Tobago,TTO,2021,3.412,23036.256,1487715,North America,2021,2015,2021,2021
Turkey,TUR,2021,2.036,28726.191,86686255,Asia,2021,2015,2020,2020
Tuvalu,TUV,2021,1.261,4577.966,10214,Oceania,2021,2015,2020,2020
Uganda,UGA,2021,0.158,2240.4902,45910932,Africa,2021,2015,2020,2020
United Arab Emirates,ARE,2021,2.879,67668.29,9789054,Asia,2021,2015,2020,2020
United Kingdom,GBR,2021,3.171,45567.57,67668789,Europe,2021,2015,2021,2021
United States,USA,2021,3.555,60158.91,340161441,North America,2021,2015,2020,2020
Uruguay,URY,2021,6.2,23257.256,3396692,South America,2021,2015,2021,2021
Vanuatu,VUT,2021,0.158,3070.404,305883,Oceania,2021,2015,2019,2019
Zambia,ZMB,2021,0.297,3287.4204,19603610,Africa,2021,2015,2021,2021
Zimbabwe,ZWE,2021,0.189,1990.3195,15797220,Africa,2021,2015,2020,2020
